Time_Index,natural_gas,nuclear,solar_pv,distributed_solar,onshore_wind,offshore_wind,battery,clean_firm,coal,hydro
277,1,1,0.3976,0.284,0.7849,0.9643,1,1,1,0.1981
278,1,1,0.5398,0.3856,0.6969,1,1,1,1,0.2477
279,1,1,0.5214,0.3724,0.6902,0.91,1,1,1,0.2496
280,1,1,0.3909,0.2792,0.614,0.7045,1,1,1,0.4776
281,1,1,0.1274,0.091,0.545,0.6651,1,1,1,0.6153
282,1,1,0,0,0.487,0.6031,1,1,1,0.6246
283,1,1,0,0,0.3858,0.3376,1,1,1,0.6228
284,1,1,0,0,0.4305,0.2717,1,1,1,0.6247
285,1,1,0,0,0.4363,0.2003,1,1,1,0.4292
286,1,1,0,0,0.4475,0.2006,1,1,1,0.4763
287,1,1,0,0,0.3822,0.1801,1,1,1,0.4580
288,1,1,0,0,0.3556,0.2789,1,1,1,0.4517
289,1,1,0,0,0.4173,0.3469,1,1,1,0.6085
290,1,1,0,0,0.4755,0.498,1,1,1,0.6085
291,1,1,0,0,0.4931,0.7353,1,1,1,0.6085
292,1,1,0,0,0.6311,1,1,1,1,0.8038
293,1,1,0,0,0.7004,1,1,1,1,0.7904
294,1,1,0,0,0.7302,1,1,1,1,0.8091
295,1,1,0,0,0.7357,1,1,1,1,0.7945
296,1,1,0,0,0.6619,1,1,1,1,0.6085
297,1,1,0.1354,0.0967,0.7651,1,1,1,1,0.5701
298,1,1,0.4614,0.3296,0.917,1,1,1,1,0.5532
299,1,1,0.6916,0.494,0.8884,1,1,1,1,0.3877
300,1,1,0.695,0.4964,0.8789,1,1,1,1,0.3194
301,1,1,0.5452,0.3894,0.9268,1,1,1,1,0.2830
302,1,1,0.6598,0.4713,0.9785,1,1,1,1,0.2344
303,1,1,0.6968,0.4977,1,1,1,1,1,0.3573
304,1,1,0.5268,0.3763,1,1,1,1,1,0.5721
305,1,1,0.3056,0.2183,1,1,1,1,1,0.7080
306,1,1,0,0,1,1,1,1,1,0.8166
307,1,1,0,0,1,1,1,1,1,0.8442
308,1,1,0,0,1,1,1,1,1,0.8206
309,1,1,0,0,1,1,1,1,1,0.7821
310,1,1,0,0,1,1,1,1,1,0.7377
311,1,1,0,0,1,1,1,1,1,0.7179
312,1,1,0,0,0.9974,1,1,1,1,0.6638
313,1,1,0,0,0.9892,1,1,1,1,0.6085
314,1,1,0,0,0.995,1,1,1,1,0.6085
315,1,1,0,0,0.9925,1,1,1,1,0.6085
316,1,1,0,0,0.996,1,1,1,1,0.8038
317,1,1,0,0,0.9944,1,1,1,1,0.7904
318,1,1,0,0,0.986,1,1,1,1,0.8091
319,1,1,0,0,0.972,1,1,1,1,0.7945
320,1,1,0,0,0.9595,1,1,1,1,0.6085
321,1,1,0.204,0.1457,0.9486,1,1,1,1,0.5701
322,1,1,0.5271,0.3765,0.919,1,1,1,1,0.5532
323,1,1,0.7815,0.5582,0.8885,1,1,1,1,0.3877
324,1,1,0.8817,0.6298,0.9542,1,1,1,1,0.3194
325,1,1,0.8414,0.601,0.9542,1,1,1,1,0.2830
326,1,1,0.7624,0.5446,0.9246,1,1,1,1,0.2344
327,1,1,0.6902,0.493,0.8562,1,1,1,1,0.3573
328,1,1,0.5951,0.4251,0.9081,1,1,1,1,0.5721
329,1,1,0.3447,0.2462,0.8362,1,1,1,1,0.7080
330,1,1,0,0,0.8167,1,1,1,1,0.8166
331,1,1,0,0,0.7771,1,1,1,1,0.8442
332,1,1,0,0,0.7354,1,1,1,1,0.8206
333,1,1,0,0,0.816,1,1,1,1,0.7821
334,1,1,0,0,0.8171,1,1,1,1,0.7377
335,1,1,0,0,0.7853,0.9503,1,1,1,0.7179
336,1,1,0,0,0.8394,0.9433,1,1,1,0.6638
337,1,1,0,0,0.8511,1,1,1,1,0.7734
338,1,1,0,0,0.8545,0.9202,1,1,1,0.8458
